anchor,layer,window,alpha,component,final_kl_mean,final_kl_lo,final_kl_hi,flip_rate,dnll_mean,dnll_lo,dnll_hi,n
mid,0,1,0.5,resid,0.0004597025092862028,-1.5803828752325443e-07,0.0024279278877656903,0.0,0.01859663228193919,-0.0027391996234655378,0.08926620110869404,60
mid,0,1,0.75,resid,0.000724678845002231,-9.749744758202892e-08,0.0056032928521744865,0.0,0.09667188748717308,-0.0009555432945489884,0.2668073900043963,60
mid,0,1,1.0,resid,0.0009276834643883884,-8.843798955382453e-08,0.006119546364061533,0.0,0.10733226587375005,-0.0006254032254219054,0.30638017579913135,60
mid,0,3,0.25,resid,0.0004472548755440527,-7.993340300771479e-08,0.002309877995867282,0.0,0.0012944986422856648,-0.0023169822990894316,0.0077462010085582724,60
mid,0,3,0.5,resid,0.001513649967788074,-8.743413957290613e-08,0.017352051590569295,0.0,0.09667364954948425,-0.00036238953471183776,0.26852797642350196,60
mid,0,3,0.75,resid,0.0023613369061488403,-2.07021608134017e-08,0.01612686186563221,0.0,0.3103151741127173,-0.0005537003278732299,0.9986051172018044,60
mid,0,3,1.0,resid,0.0024041325045510487,-4.963513600131364e-08,0.016107302822638277,0.0,0.3217756333450476,0.0003145702183246613,1.0130148559808725,60
mid,0,5,0.25,resid,0.000376816536032093,-2.262571636713062e-08,0.0022018897114321587,0.0,0.002100013941526413,-0.0024929985404014586,0.014724590629339215,60
mid,0,5,0.5,resid,0.00161655719117344,-9.06303805336961e-08,0.011984337365720403,0.0,0.1799969176451365,-1.8267333507537755e-05,0.3807050317525863,60
mid,0,5,0.75,resid,0.002800371237736506,-1.7843404154227467e-08,0.014848436648026101,0.0,0.4945399582386017,0.004628069698810577,1.398729372024535,60
mid,0,5,1.0,resid,0.002865106022524566,-6.056896424411207e-08,0.014440898876637204,0.0,0.5120135267575582,0.006987851113080979,1.42154719531536,60
mid,2,1,0.25,resid,0.0003211881462721481,-4.377575084646423e-08,0.0022703768161591135,0.0,0.0008401326835155487,-0.0019156940281391144,0.003134691715240478,60
mid,2,1,0.5,resid,0.00047258448637090114,-1.0656452680279926e-07,0.003047728945966809,0.0,0.010831958800554275,-0.003071734681725502,0.08204287849366657,60
mid,2,1,0.75,resid,0.0006542067801383778,-6.724978902639122e-08,0.004740079358452926,0.0,0.08600847671429317,0.0007107034325599671,0.24487559124827368,60
mid,2,1,1.0,resid,0.0005696233656522531,-8.232346253578271e-08,0.003203559847315772,0.0,0.09441658134261767,0.0007153205573558808,0.26363108903169613,60
mid,2,3,0.25,resid,0.0004226981525321194,-8.392147314850717e-08,0.002442840946605429,0.0,0.0015271306037902832,-0.002095029130578041,0.007810153067111966,60
mid,2,3,0.5,resid,0.0008497282200741751,-7.032447069121872e-08,0.00873666838742791,0.0,0.07683527991175651,-0.0015188291668891906,0.2539509482681751,60
mid,2,3,0.75,resid,0.0018160645932707145,-7.943659898757006e-08,0.012456045905128107,0.0,0.2879429794847965,0.0009603492915630341,0.9680317580699913,60
mid,2,3,1.0,resid,0.002151940849921301,-6.952059425913148e-08,0.019130362872965614,0.016666666666666666,0.30373590514063836,0.001241196691989899,0.9977759361267082,60
mid,2,5,0.25,resid,0.00038338386490153196,-1.2946527654378313e-07,0.001942160737235099,0.0,0.002369159956773122,-0.001484263688325882,0.01125451028347015,60
